MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Add_O,Add_I,Add_H,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,Antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
1,0,0,1,0,0,1,0,0.615969582,1,1,1,0.666666667,0,0,0,0.5,0.75,0.5,0.222222222,0,0,1,0.285714286,0.022222222,21.15,1.028,0.783,12.02
1,0,0,1,0,0,1,0,0.615969582,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,0.75,0.5,0.333333333,0,0,1,0.285714286,0.111111111,22.02,0.97,0.758,16.22
1,0,0,1,0,0,1,0,0.6121673,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,1,0.5,0.333333333,0,0,1,0.285714286,0.111111111,21.35,0.94,0.796,16.05
1,0,0,1,0,0,1,0,0.6121673,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,1,0.5,0.333333333,0,0,1,0.285714286,0.111111111,20.79,0.92,0.696,13.32
1,0,0,1,0,0,1,0,0.6121673,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,1,0.5,0.333333333,0,0,1,0.285714286,0.111111111,18.96,1.01,0.678,13.94
0,1,0,1,0,0,1,0,0.570342205,0,0.333333333,0.333333333,0.666666667,1,0,1,0.5,1,0.375,0.222222222,0,0,1,0.357142857,0.222222222,25.91,1.165,0.831,25.09
0,1,0,1,0,0,1,0,0.570342205,0,0.333333333,0.333333333,0.666666667,0,0,0,0.5,1,0.375,0.222222222,0,0,1,0.357142857,0.222222222,25.87,1.107,0.82,23.48
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0,0,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,11.76,0.97,0.58,6.6
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0,0,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,12.55,0.98,0.69,8.5
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,0.428571429,0.055555556,13.49,1.01,0.58,7.9
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,0.428571429,0.055555556,13.34,1.05,0.62,8.7
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,13.72,1.17,0.68,10.9
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,13.98,1.17,0.74,12
1,0,0,0,1,0,1,0,0.494296578,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,16.3,0.68,0.48,5.23
1,0,0,0,1,0,0.666666667,0.333333333,0.593155894,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,14.38,0.77,0.5,5.48
1,0,0,0,1,0,0.333333333,0.666666667,0.66539924,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,12.3,0.82,0.57,5.73
1,0,0,0,1,0,0,1,0.817490494,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,8.26,0.82,0.59,4.27
0,1,0,1,0,0,1,0,0.570342205,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0.75,0.055555556,0.666666667,0.5,0,0.2,0.333333333,6.45,0.97,0.687,4.3
0,0,1,1,0,0,0,1,0.882129278,0,0.333333333,0,1,0,0,0,0.5,0.25,0.25,0.111111111,0,0,0,0.714285714,0.055555556,7.48,1.19,0.688,6.12
0,0,1,1,0,0,0,1,0.882129278,0,0.333333333,0,1,0,0,0,0.5,0.25,0.25,0.111111111,0,0,0,0.714285714,0.055555556,5.32,1.23,0.812,5.33
0.15,0.85,0,1,0,0,0.85,0.15,0.551330798,0,0.333333333,0.333333333,0.333333333,0,0,0,1,0.5,0.625,0.5,0.833333333,0.5,0,0.285714286,0.666666667,23.08,1.07,0.62,15.46
0,1,0,0,1,0,1,0,0.517110266,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,21.19,0.66,0.6689,9.38
0,1,0,0,1,0,1,0,0.517110266,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,22.14,0.64,0.6023,8.53
0,1,0,0,1,0,1,0,0.52851711,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,24.2,0.76,0.6573,12.09
0,1,0,0,1,0,1,0,0.52851711,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,24.81,0.76,0.6959,13.12
0,1,0,0,1,0,1,0,0.543726236,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,24.91,0.84,0.7076,14.81
0,1,0,0,1,0,1,0,0.543726236,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,25.15,0.82,0.7169,14.79
0,1,0,0,1,0,1,0,0.55513308,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,20.74,0.84,0.6636,11.56
0,1,0,0,1,0,1,0,0.55513308,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,21.89,0.84,0.7886,14.5
0.15,0.85,0,1,0,0,0.85,0.15,0.608365019,1,0.666666667,0.333333333,0.666666667,1,0,0,1,0.75,0.1875,0.111111111,0.916666667,0.5,1,0.371428571,0.333333333,19.18,1.15,0.732,19.49
0.952,0.048,0,1,0,0,0.968,0.032,0.615969582,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,24.07,1.131,0.768,20.93
0.952,0.048,0,1,0,0,0.968,0.032,0.615969582,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,23.5,1.065,0.687,17.22
1,0,0,1,0,0,1,0,0.6121673,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,21.15,1.053,0.652,14.53
0.952,0.024,0,1,0,0,0.984,0.016,0.6121673,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,23.87,1.095,0.756,19.76
0.928,0.072,0,1,0,0,0.952,0.048,0.619771863,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,23.75,1.082,0.735,18.89
0.904,0.096,0,1,0,0,0.936,0.064,0.619771863,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,23.32,1.06,0.713,17.67
0,0,1,0,1,0,1,0,0.494296578,1,1,0.666666667,0.666666667,1,1,0,0.5,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,24.94,0.75,0.74,13.68
0,0,1,0,1,0,1,0,0.494296578,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,14.42,0.63,0.6,5.51
0,0,1,0,1,0,0.333333333,0.666666667,0.619771863,0,0.333333333,0,1,0,1,0,0.5,0.75,0.375,0.222222222,0,0,0,0.714285714,0.044444444,16.7,0.33,0.53,3
0.05,0.95,0,1,0,0,0.95,0.05,0.584410646,0,0.666666667,0.333333333,0.333333333,0,0,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,24.13,1.085,0.726,19
0.15,0.85,0,1,0,0,0.85,0.15,0.608745247,0,0.333333333,0.333333333,0.333333333,1,0,0,0.5,0.75,0.75,0.333333333,0,0,1,0.285714286,0.666666667,22.89,1.123,0.756,19.43
0,0,1,1,0,0,0,1,0.870722433,0,0.333333333,0,1,1,0,0,1,1,0.25,0.333333333,0.333333333,0.166666667,1,0.714285714,0.055555556,8.74,1.23,0.754,8.11
0,0,1,1,0,0,0,1,0.882129278,0,0.333333333,0,1,1,0,0,1,0.25,0.25,0.333333333,0.333333333,0.166666667,1,0.714285714,0.055555556,7.23,1.21,0.719,6.27
0.05,0.95,0,1,0,0,0.95,0.05,0.592395437,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,24.69,1.09,0.748,20.13
0.05,0.95,0,1,0,0,0.95,0.05,0.592395437,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,24.66,1.08,0.73,19.44
0,1,0,1,0,0,1,0,0.587452471,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,23.83,1.05,0.715,17.89
0,1,0,1,0,0,1,0,0.587452471,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,23.89,1.03,0.756,18.65
1,0,0,1,0,0,1,0,0.615209125,1,1,1,0.666666667,0,0,0,0.5,0.75,0.5,0.222222222,0,0,1,0.285714286,0.022222222,21.09,1.06,0.78,18.15
0,1,0,0,1,0,1,0,0.524714829,1,1,0.666666667,1,1,0,1,0.5,0.75,0.5,0.666666667,0,0,0,0.185714286,0.222222222,24.1,0.525,0.71,9
0,1,0,1,0,0,1,0,0.585551331,1,0.666666667,0.333333333,0.333333333,1,0,1,0.5,0.25,0.5,0.333333333,0,0,0,0.428571429,0.111111111,24.75,1.117,0.737,20.33
0,1,0,1,0,0,1,0,0.585551331,1,0.666666667,0.333333333,0.333333333,1,0,1,0.5,0.25,0.5,0.333333333,0,0,0,0.428571429,0.111111111,24.9,1.13,0.75,21.18
0,1,0,1,0,0,1,0,0.581749049,1,0.666666667,0.333333333,0.333333333,1,0,1,0.5,0.25,0.5,0.111111111,0,0,0,0.428571429,0.222222222,24.81,1.04,0.78,20.23
0,1,0,1,0,0,1,0,0.581749049,1,0.666666667,0.333333333,0.333333333,1,0,1,0.5,0.25,0.5,0.111111111,0,0,0,0.428571429,0.222222222,24.7,1.029,0.756,19.27
0,1,0,0,1,0,1,0,0.585551331,1,1,0.666666667,0.666666667,0,0,0,1,0.5,0.125,0.133333333,0.833333333,0.8,1,0.285714286,0.133333333,22.37,0.73,0.72,11.78
0,1,0,0,1,0,1,0,0.585551331,1,1,0.666666667,0.666666667,0,0,0,1,0.5,0.125,0.133333333,0.833333333,0.8,1,0.285714286,0.133333333,22.1,0.53,0.677,7.932
0.17,0.83,0,1,0,0,0.83,0.17,0.608365019,1,0.666666667,0.333333333,0.333333333,0,0,0,0.5,0.75,0.75,0.333333333,0,0,1,0.285714286,0.555555556,23.23,1.18,0.7335,20.54
0.1,0.9,0,1,0,0,1,0,0.588212928,1,0.666666667,0.333333333,0.666666667,0,0,0,1,0.75,0.125,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,23.4,1.05,0.753,18.3
0,0.9,0.1,1,0,0,1,0,0.587452471,1,0.666666667,0.333333333,0.666666667,0,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,24.2,1.08,0.76,19.9
0,0.9,0.1,1,0,0,1,0,0.586311787,1,0.666666667,0.333333333,0.666666667,0,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,24.6,1.09,0.773,20.7
0,0.9,0.1,1,0,0,1,0,0.585171103,1,0.666666667,0.333333333,0.666666667,0,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,22.8,1.04,0.658,15.6
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,1,0,0,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,23.7,0.28,0.55,4.8
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,1,0,0,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,24.5,0.29,0.55,4
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,1,0,0,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,20.9,0.26,0.5,2.8
1,0,0,1,0,0,1,0,0.570342205,1,0.666666667,0.333333333,0.666666667,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0.285714286,0.111111111,22.47,1.07,0.716,17.21
1,0,0,1,0,0,1,0,0.570342205,1,1,0.333333333,0.666666667,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0.285714286,0.111111111,22.35,1.1,0.729,17.92
1,0,0,1,0,0,1,0,0.570342205,1,1,0.333333333,0.666666667,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0.285714286,0.111111111,22.74,1.17,0.731,19.46
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,0,1,1,0.5,0.25,0.25,0.444444444,0,0,0,0.2,0.333333333,24.45,0.238,0.36,2.1
1,0,0,1,0,0,1,0,0.604562738,0,0.333333333,0.333333333,0.666666667,1,0,0,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,22.18,1.07,0.75,17.89
1,0,0,0.95,0.05,0,1,0,0.600760456,0,0.333333333,0.333333333,0.666666667,1,0,0,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,23.28,1.06,0.68,16.76
1,0,0,0.95,0,0.05,0.966666667,0.033333333,0.600760456,0,0.333333333,0.333333333,0.666666667,1,0,0,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,22.81,1.13,0.74,19.02
1,0,0,0.9,0.05,0.05,0.966666667,0.033333333,0.600760456,0,0.333333333,0.333333333,0.666666667,1,0,0,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,23.97,1.08,0.81,21.08
1,0,0,0,1,0,1,0,0.494296578,0,0.333333333,1,0.333333333,0,1,1,0.5,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,19.92,0.3775,0.5173,3.89
0,0,1,0,1,0,1,0,0.475285171,0,0.333333333,1,0.333333333,0,1,1,0.5,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,30.75,0.17,0.3488,1.83
0,0,1,0,1,0,0,1,0.680608365,0,0.333333333,1,0.333333333,0,1,1,0.5,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,13.96,0.366,0.593,3.04
1,0,0,1,0,0,0.6,0.4,0.684410646,1,1,0.666666667,0.666666667,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,1,0.285714286,0.111111111,14.34,1.05,0.74,11.14
1,0,0,0.75,0.25,0,0.6,0.4,0.604562738,1,1,0.666666667,0.666666667,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,1,0.285714286,0.111111111,17.25,0.91,0.76,11.93
1,0,0,0.5,0.5,0,0.6,0.4,0.562737643,1,1,0.666666667,0.666666667,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,1,0.285714286,0.111111111,6.02,0.57,0.68,2.34
1,0,0,0.25,0.75,0,0.6,0.4,0.509505703,1,1,0.666666667,0.666666667,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,1,0.285714286,0.111111111,2.76,0.41,0.63,0.71
1,0,0,0,1,0,0.6,0.4,0.608365019,1,1,0.666666667,0.666666667,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,1,0.285714286,0.111111111,1.03,0.15,0.51,0.07
0.25,0.75,0,0,1,0,1,0,0.532319392,1,1,0.666666667,0.333333333,0,1,0,0.5,0.25,0.625,0.555555556,0,0,1,0.2,0.111111111,17.61,0.46,0.41,3.31
0.25,0.75,0,0,0.95,0.5,1,0,0.532319392,1,1,0.666666667,0.333333333,0,1,0,0.5,0.25,0.625,0.555555556,0,0,1,0.2,0.111111111,19.5,0.42,0.55,4.48
0.25,0.75,0,0,0.9,1,1,0,0.539923954,1,1,0.666666667,0.333333333,0,1,0,0.5,0.25,0.625,0.555555556,0,0,1,0.2,0.111111111,13.27,0.33,0.49,2.04
0.25,0.75,0,0,0.8,0.2,1,0,0.581749049,1,1,0.666666667,0.333333333,0,1,0,0.5,0.25,0.625,0.555555556,0,0,1,0.2,0.111111111,11.84,0.15,0.46,0.8
1,0,0,0,1,0,1,0,0.494296578,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,11.63,0.68,0.48,5.23
1,0,0,0,1,0,0.666666667,0.333333333,0.593155894,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,14.38,0.77,0.5,5.48
1,0,0,0,1,0,0.333333333,0.666666667,0.66539924,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,12.3,0.82,0.57,5.73
1,0,0,0,1,0,0,1,0.817490494,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,8.26,0.88,0.59,3.27
0,0,1,1,0,0,1,0,0.650190114,0,0.333333333,1,0.333333333,0,1,1,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,16.02,0.89,0.5659,8.07
0,0,1,0.99,0.01,0,1,0,1,0,0.333333333,1,0.333333333,0,1,1,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,15.2,0.83,0.5731,7.23
0,0,1,0.975,0.025,0,1,0,0.661596958,0,0.333333333,1,0.333333333,0,1,1,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,15.84,0.87,0.6364,8.77
0,0,1,0.96,0.04,0,1,0,0.593155894,0,0.333333333,1,0.333333333,0,1,1,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,18.76,0.97,0.7259,13.21
0,0,1,0.95,0.05,0,1,0,0.600760456,0,0.333333333,1,0.333333333,0,1,1,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,17.35,0.93,0.6607,10.66
0,0,1,1,0,0,1,0,0.66539924,0,0.333333333,0,1,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,13.46,0.71,0.46,4.45
0,0,1,1,0,0,1,0,0.66539924,0,0.333333333,0,1,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,13.43,0.65,0.38,3.32
0,0,1,0.96,0.04,0,1,0,0.676806084,0,0.333333333,0,1,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,14.64,0.73,0.18,5.18
0,0,1,0.96,0.04,0,1,0,0.676806084,0,0.333333333,0,1,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,14.65,0.73,0.5,5.31
0.16,0.79,0.05,1,0,0,0.826666667,0.173333333,0.6121673,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,19.82,0.7,0.6975,9.69
0.16,0.79,0.05,1,0,0,0.826666667,0.173333333,0.6121673,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,19.8,0.7,0.5203,7.21
0.16,0.79,0.05,0.916,0.16,0,0.826666667,0.173333333,0.585551331,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,22.1,0.67,0.7031,10.41
0.16,0.79,0.05,0.916,0.16,0,0.826666667,0.173333333,0.585551331,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,21.72,0.66,0.6202,8.87
0.16,0.79,0.05,0.832,0.168,0,0.826666667,0.173333333,0.558935361,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,24.79,0.71,0.7218,12.65
0.16,0.79,0.05,0.832,0.168,0,0.826666667,0.173333333,0.558935361,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,24.38,0.7,0.6624,11.27
0.16,0.79,0.05,0.748,0.252,0,0.826666667,0.173333333,0.536121673,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,25.2,0.76,0.7415,14.11
0.16,0.79,0.05,0.748,0.252,0,0.826666667,0.173333333,0.536121673,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,24.92,0.75,0.7009,12.98
0.16,0.79,0.05,0.664,0.336,0,0.826666667,0.173333333,0.524714829,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,26.59,0.8,0.7601,16.1
0.16,0.79,0.05,0.664,0.336,0,0.826666667,0.173333333,0.524714829,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,26.45,0.79,0.7545,15.76
0.16,0.79,0.05,0.58,0.42,0,0.826666667,0.173333333,0.513307985,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,25.9,0.74,0.6951,13.25
0.16,0.79,0.05,0.58,0.42,0,0.826666667,0.173333333,0.513307985,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,25.73,0.72,0.6545,12.1
0,0,1,1,0,0,0,1,0.874524715,0,0.333333333,0,1,0,0,0,0.5,0.25,0.25,0.333333333,0,0,0,0.714285714,0.055555556,7.4,1.24,0.73,6.7
0,0,1,1,0,0,0,1,0.874524715,0,0,0,1,0,0,0,0.5,0.25,0.25,0.333333333,0,0,0,0.714285714,0.055555556,5.1,1.31,0.54,3.6
0,0,1,1,0,0,0,1,0.874524715,0,0.333333333,0,1,0,0,0,0.5,0.25,0.125,0.333333333,0,0,0,0.714285714,0.055555556,7.7,1.14,0.52,4.6
0,0,1,1,0,0,0,1,0.874524715,0,0.333333333,0,1,0,0,0,0.5,0.25,0.375,0.333333333,0,0,0,0.714285714,0.055555556,6.4,1.19,0.67,5.1
0,0,1,1,1,0,1,0,0.646387833,0,0.333333333,0,1,0,0,0,0.5,0.25,0.25,0.333333333,0,0,0,0.2,0.333333333,6.96,1.26,0.57,5
0,0,1,1,0,0,0,1,0.878326996,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,6.94,1.352,0.745,6.99
0,0,1,0.9,0,0.1,0,1,0.870722433,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,7.43,1.432,0.733,7.8
0,0,1,0.8,0,0.2,0,1,0.844106464,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,7.44,1.508,0.745,8.36
0,0,1,0.7,0,0.3,0,1,0.83269962,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,7.45,1.536,0.802,9.2
0,0,1,0.9,0,0.1,0,1,0.817490494,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,4.84,1.516,0.762,5.59
0,0,1,0.9,0,0.1,0,1,0.798479087,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,2.77,1.492,0.692,2.86
0,0,1,0.9,0,0.1,0,1,0.855513308,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,7.48,1.594,0.851,10.14
0,0,1,1,0,0,0,1,0.882129278,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,6.89,1.37,0.768,7.25
0,0,1,0.97,0,0.03,0,1,0.870722433,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,7.04,1.45,0.772,7.87
0,0,1,0.97,0,0.03,0,1,0.863117871,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,7.56,1.47,0.796,8.85
