MA,FA,Cs,Pb,Sn,Other,I,Br,Po,ETL,HTL,Ne,Add_O,Add_I,Add_H,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,Antisolvent,Anneal_T,Anneal_t,Gap
1,0,0,1,0,0,1,0,1,1,1,0.666666667,0,0,0,0.5,0.75,0.5,0.222222222,0,0,1,0.285714286,0.022222222,0.615969582
1,0,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,0.75,0.5,0.333333333,0,0,1,0.285714286,0.111111111,0.615969582
1,0,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,1,0.5,0.333333333,0,0,1,0.285714286,0.111111111,0.6121673
1,0,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,1,0.5,0.333333333,0,0,1,0.285714286,0.111111111,0.6121673
1,0,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,1,0.5,0.333333333,0,0,1,0.285714286,0.111111111,0.6121673
0,1,0,1,0,0,1,0,0,0.333333333,0.333333333,0.666666667,1,0,1,0.5,1,0.375,0.222222222,0,0,1,0.357142857,0.222222222,0.570342205
0,1,0,1,0,0,1,0,0,0.333333333,0.333333333,0.666666667,0,0,0,0.5,1,0.375,0.222222222,0,0,1,0.357142857,0.222222222,0.570342205
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,0,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,0.72243346
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,0,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,0.72243346
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,0.428571429,0.055555556,0.72243346
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,0.428571429,0.055555556,0.72243346
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,0.72243346
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,0.72243346
1,0,0,0,1,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.494296578
1,0,0,0,1,0,0.666666667,0.333333333,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.593155894
1,0,0,0,1,0,0.333333333,0.666666667,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.66539924
1,0,0,0,1,0,0,1,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.817490494
0,1,0,1,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0.75,0.055555556,0.666666667,0.5,0,0.2,0.333333333,0.570342205
0,0,1,1,0,0,0,1,0,0.333333333,0,1,0,0,0,0.5,0.25,0.25,0.111111111,0,0,0,0.714285714,0.055555556,0.882129278
0,0,1,1,0,0,0,1,0,0.333333333,0,1,0,0,0,0.5,0.25,0.25,0.111111111,0,0,0,0.714285714,0.055555556,0.882129278
0.15,0.85,0,1,0,0,0.85,0.15,0,0.333333333,0.333333333,0.333333333,0,0,0,1,0.5,0.625,0.5,0.833333333,0.5,0,0.285714286,0.666666667,0.551330798
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.517110266
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.517110266
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.52851711
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.52851711
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.543726236
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.543726236
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.55513308
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.55513308
0.15,0.85,0,1,0,0,0.85,0.15,1,0.666666667,0.333333333,0.666666667,1,0,0,1,0.75,0.1875,0.111111111,0.916666667,0.5,1,0.371428571,0.333333333,0.608365019
0.952,0.048,0,1,0,0,0.968,0.032,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.615969582
0.952,0.048,0,1,0,0,0.968,0.032,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.615969582
1,0,0,1,0,0,1,0,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.6121673
0.952,0.024,0,1,0,0,0.984,0.016,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.6121673
0.928,0.072,0,1,0,0,0.952,0.048,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.619771863
0.904,0.096,0,1,0,0,0.936,0.064,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.619771863
0,0,1,0,1,0,1,0,1,1,0.666666667,0.666666667,1,1,0,0.5,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,0.494296578
0,0,1,0,1,0,1,0,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,0.494296578
0,0,1,0,1,0,0.333333333,0.666666667,0,0.333333333,0,1,0,1,0,0.5,0.75,0.375,0.222222222,0,0,0,0.714285714,0.044444444,0.619771863
0.05,0.95,0,1,0,0,0.95,0.05,0,0.666666667,0.333333333,0.333333333,0,0,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.584410646
0.15,0.85,0,1,0,0,0.85,0.15,0,0.333333333,0.333333333,0.333333333,1,0,0,0.5,0.75,0.75,0.333333333,0,0,1,0.285714286,0.666666667,0.608745247
0,0,1,1,0,0,0,1,0,0.333333333,0,1,1,0,0,1,1,0.25,0.333333333,0.333333333,0.166666667,1,0.714285714,0.055555556,0.870722433
0,0,1,1,0,0,0,1,0,0.333333333,0,1,1,0,0,1,0.25,0.25,0.333333333,0.333333333,0.166666667,1,0.714285714,0.055555556,0.882129278
0.05,0.95,0,1,0,0,0.95,0.05,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.592395437
0.05,0.95,0,1,0,0,0.95,0.05,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.592395437
0,1,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.587452471
0,1,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,1,1,0,1,1,0.0375,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.587452471
1,0,0,1,0,0,1,0,1,1,1,0.666666667,0,0,0,0.5,0.75,0.5,0.222222222,0,0,1,0.285714286,0.022222222,0.615209125
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,0,1,0.5,0.75,0.5,0.666666667,0,0,0,0.185714286,0.222222222,0.524714829
0,1,0,1,0,0,1,0,1,0.666666667,0.333333333,0.333333333,1,0,1,0.5,0.25,0.5,0.333333333,0,0,0,0.428571429,0.111111111,0.585551331
0,1,0,1,0,0,1,0,1,0.666666667,0.333333333,0.333333333,1,0,1,0.5,0.25,0.5,0.333333333,0,0,0,0.428571429,0.111111111,0.585551331
0,1,0,1,0,0,1,0,1,0.666666667,0.333333333,0.333333333,1,0,1,0.5,0.25,0.5,0.111111111,0,0,0,0.428571429,0.222222222,0.581749049
0,1,0,1,0,0,1,0,1,0.666666667,0.333333333,0.333333333,1,0,1,0.5,0.25,0.5,0.111111111,0,0,0,0.428571429,0.222222222,0.581749049
0,1,0,0,1,0,1,0,1,1,0.666666667,0.666666667,0,0,0,1,0.5,0.125,0.133333333,0.833333333,0.8,1,0.285714286,0.133333333,0.585551331
0,1,0,0,1,0,1,0,1,1,0.666666667,0.666666667,0,0,0,1,0.5,0.125,0.133333333,0.833333333,0.8,1,0.285714286,0.133333333,0.585551331
0.17,0.83,0,1,0,0,0.83,0.17,1,0.666666667,0.333333333,0.333333333,0,0,0,0.5,0.75,0.75,0.333333333,0,0,1,0.285714286,0.555555556,0.608365019
0.1,0.9,0,1,0,0,1,0,1,0.666666667,0.333333333,0.666666667,0,0,0,1,0.75,0.125,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.588212928
0,0.9,0.1,1,0,0,1,0,1,0.666666667,0.333333333,0.666666667,0,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.587452471
0,0.9,0.1,1,0,0,1,0,1,0.666666667,0.333333333,0.666666667,0,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.586311787
0,0.9,0.1,1,0,0,1,0,1,0.666666667,0.333333333,0.666666667,0,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,1,0.428571429,0.111111111,0.585171103
0,1,0,0,1,0,1,0,0,0.333333333,0.333333333,0.333333333,1,0,0,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,0.536121673
0,1,0,0,1,0,1,0,0,0.333333333,0.333333333,0.333333333,1,0,0,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,0.536121673
0,1,0,0,1,0,1,0,0,0.333333333,0.333333333,0.333333333,1,0,0,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,0.536121673
1,0,0,1,0,0,1,0,1,0.666666667,0.333333333,0.666666667,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0.285714286,0.111111111,0.570342205
1,0,0,1,0,0,1,0,1,1,0.333333333,0.666666667,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0.285714286,0.111111111,0.570342205
1,0,0,1,0,0,1,0,1,1,0.333333333,0.666666667,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0.285714286,0.111111111,0.570342205
0,1,0,0,1,0,1,0,0,0.333333333,0.333333333,0.333333333,0,1,1,0.5,0.25,0.25,0.444444444,0,0,0,0.2,0.333333333,0.536121673
1,0,0,1,0,0,1,0,0,0.333333333,0.333333333,0.666666667,1,0,0,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,0.604562738
1,0,0,0.95,0.05,0,1,0,0,0.333333333,0.333333333,0.666666667,1,0,0,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,0.600760456
1,0,0,0.95,0,0.05,0.966666667,0.033333333,0,0.333333333,0.333333333,0.666666667,1,0,0,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,0.600760456
1,0,0,0.9,0.05,0.05,0.966666667,0.033333333,0,0.333333333,0.333333333,0.666666667,1,0,0,1,1,0.125,0.222222222,0.666666667,0.666666667,0,0.285714286,0.111111111,0.600760456
1,0,0,0,1,0,1,0,0,0.333333333,1,0.333333333,0,1,1,0.5,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,0.494296578
0,0,1,0,1,0,1,0,0,0.333333333,1,0.333333333,0,1,1,0.5,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,0.475285171
0,0,1,0,1,0,0,1,0,0.333333333,1,0.333333333,0,1,1,0.5,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,0.680608365
1,0,0,1,0,0,0.6,0.4,1,1,0.666666667,0.666666667,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,1,0.285714286,0.111111111,0.684410646
1,0,0,0.75,0.25,0,0.6,0.4,1,1,0.666666667,0.666666667,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,1,0.285714286,0.111111111,0.604562738
1,0,0,0.5,0.5,0,0.6,0.4,1,1,0.666666667,0.666666667,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,1,0.285714286,0.111111111,0.562737643
1,0,0,0.25,0.75,0,0.6,0.4,1,1,0.666666667,0.666666667,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,1,0.285714286,0.111111111,0.509505703
1,0,0,0,1,0,0.6,0.4,1,1,0.666666667,0.666666667,0,0,0,1,1,0.125,0.166666667,0.666666667,0.75,1,0.285714286,0.111111111,0.608365019
0.25,0.75,0,0,1,0,1,0,1,1,0.666666667,0.333333333,0,1,0,0.5,0.25,0.625,0.555555556,0,0,1,0.2,0.111111111,0.532319392
0.25,0.75,0,0,0.95,0.5,1,0,1,1,0.666666667,0.333333333,0,1,0,0.5,0.25,0.625,0.555555556,0,0,1,0.2,0.111111111,0.532319392
0.25,0.75,0,0,0.9,1,1,0,1,1,0.666666667,0.333333333,0,1,0,0.5,0.25,0.625,0.555555556,0,0,1,0.2,0.111111111,0.539923954
0.25,0.75,0,0,0.8,0.2,1,0,1,1,0.666666667,0.333333333,0,1,0,0.5,0.25,0.625,0.555555556,0,0,1,0.2,0.111111111,0.581749049
1,0,0,0,1,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.494296578
1,0,0,0,1,0,0.666666667,0.333333333,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.593155894
1,0,0,0,1,0,0.333333333,0.666666667,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.66539924
1,0,0,0,1,0,0,1,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.817490494
0,0,1,1,0,0,1,0,0,0.333333333,1,0.333333333,0,1,1,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,0.650190114
0,0,1,0.99,0.01,0,1,0,0,0.333333333,1,0.333333333,0,1,1,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,1
0,0,1,0.975,0.025,0,1,0,0,0.333333333,1,0.333333333,0,1,1,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,0.661596958
0,0,1,0.96,0.04,0,1,0,0,0.333333333,1,0.333333333,0,1,1,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,0.593155894
0,0,1,0.95,0.05,0,1,0,0,0.333333333,1,0.333333333,0,1,1,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,0.600760456
0,0,1,1,0,0,1,0,0,0.333333333,0,1,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,0.66539924
0,0,1,1,0,0,1,0,0,0.333333333,0,1,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,0.66539924
0,0,1,0.96,0.04,0,1,0,0,0.333333333,0,1,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,0.676806084
0,0,1,0.96,0.04,0,1,0,0,0.333333333,0,1,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,0.676806084
0.16,0.79,0.05,1,0,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.6121673
0.16,0.79,0.05,1,0,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.6121673
0.16,0.79,0.05,0.916,0.16,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.585551331
0.16,0.79,0.05,0.916,0.16,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.585551331
0.16,0.79,0.05,0.832,0.168,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.558935361
0.16,0.79,0.05,0.832,0.168,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.558935361
0.16,0.79,0.05,0.748,0.252,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.536121673
0.16,0.79,0.05,0.748,0.252,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.536121673
0.16,0.79,0.05,0.664,0.336,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.524714829
0.16,0.79,0.05,0.664,0.336,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.524714829
0.16,0.79,0.05,0.58,0.42,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.513307985
0.16,0.79,0.05,0.58,0.42,0,0.826666667,0.173333333,1,1,0.666666667,0.666666667,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,0.513307985
0,0,1,1,0,0,0,1,0,0.333333333,0,1,0,0,0,0.5,0.25,0.25,0.333333333,0,0,0,0.714285714,0.055555556,0.874524715
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.5,0.25,0.25,0.333333333,0,0,0,0.714285714,0.055555556,0.874524715
0,0,1,1,0,0,0,1,0,0.333333333,0,1,0,0,0,0.5,0.25,0.125,0.333333333,0,0,0,0.714285714,0.055555556,0.874524715
0,0,1,1,0,0,0,1,0,0.333333333,0,1,0,0,0,0.5,0.25,0.375,0.333333333,0,0,0,0.714285714,0.055555556,0.874524715
0,0,1,1,1,0,1,0,0,0.333333333,0,1,0,0,0,0.5,0.25,0.25,0.333333333,0,0,0,0.2,0.333333333,0.646387833
0,0,1,1,0,0,0,1,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,0.878326996
0,0,1,0.9,0,0.1,0,1,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,0.870722433
0,0,1,0.8,0,0.2,0,1,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,0.844106464
0,0,1,0.7,0,0.3,0,1,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,0.83269962
0,0,1,0.9,0,0.1,0,1,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,0.817490494
0,0,1,0.9,0,0.1,0,1,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,0.798479087
0,0,1,0.9,0,0.1,0,1,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,0.855513308
0,0,1,1,0,0,0,1,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,0.882129278
0,0,1,0.97,0,0.03,0,1,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,0.870722433
0,0,1,0.97,0,0.03,0,1,0,0.333333333,0,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,0.863117871
